name,address,rating,review_count,lat,lon,tit1,zipcodes
Best Shawarma,"602 W Glenoaks Blvd  Glendale, CA 91202",4.0,349,34.1594551,-118.26717250000002,Middle Eastern,91202
Taco Bell,"2500 E Pacific Coast Hwy  Long Beach, CA 90804",2.0,89,33.789873,-118.162498,Fast Food,90804
Bottlefish,"11677 San Vicente Blvd  Ste 200  Los Angeles, CA 90049",4.5,274,34.05400039999999,-118.4647585,Bars,90049
Baby Lobster,"1001 Maple Ave  Ste 201  Los Angeles, CA 90015",3.0,49,34.038311,-118.25424960000001,Seafood,90015
China Star Express,"1785 Palo Verde Ave  Long Beach, CA 90815",3.5,209,33.788383,-118.10805490000001,Chinese,90815
casa del tarasco,"56th st  Los Angeles, CA 90011",5.0,3,33.99154,-118.26581499999999,Mexican,90011
Heartfulmade,"2009 W Commonwealth Ave  Unit.  C  Fullerton, CA 92833",4.5,26,33.87101,-117.96637,Korean,92833
Clemen's Restaurant,"3551 S Western Ave  Los Angeles, CA 90018",4.0,13,34.02345,-118.30917,Salvadoran,90018
Slasher Pizza,"1466 Glendale Blvd  Los Angeles, CA 90026",5.0,1,34.081632,-118.259825,Pizza,90026
Sabrosada,"1770 S Harbor Blvd  Ste 128  Anaheim, CA 92825",3.5,446,33.80392316,-117.91468590000002,Mexican,92825
Ramen Izakaya Ajido,"1730 W Sepulveda Blvd  Ste 6  Torrance, CA 90501",4.0,312,33.816301200000005,-118.30953590000001,Ramen,90501
Yaya's Burgers No 2,"3202 E Gage Ave  Huntington Park, CA 90255",4.0,101,33.980243,-118.210273,Mexican,90255
Tortilla Republic,"616 N Robertson Blvd  West Hollywood, CA 90069",4.0,948,34.081413,-118.38525800000001,Mexican,90069
veSTATION,"14435 Ventura Blvd  Sherman Oaks, CA 91423",4.5,919,34.15154266,-118.44814299999999,Vegan,91423
Chef Chen,"137 N Montebello Blvd  Montebello, CA 90640",4.5,182,34.0116219,-118.1079861,Chinese,90640
Charcoal Venice,"425 Washington Blvd  Marina Del Rey, CA 90292",4.0,504,33.98171,-118.46298999999999,American (New),90292
Perfect Pita,"6319 Hollywood Blvd  Los Angeles, CA 90028",4.5,170,34.10196686,-118.3275146,Mediterranean,90028
Taj Mahal of India Restaurant,"8566 W Pico Blvd  Los Angeles, CA 90035",4.0,544,34.05334000000001,-118.37772,Indian,90035
Little Mexico Chiquito,"3823 E Slauson Ave  Maywood, CA 90270",4.0,117,33.9883203,-118.19589340000002,Mexican,90270
Hail Mary Pizza,"3219 Glendale Blvd  Los Angeles, CA 90039",4.0,156,34.11848006,-118.26090990000002,Pizza,90039
El Atacor No 1B,"1625 E Cesar E Chavez Ave  Los Angeles, CA 90033",2.5,4,34.0514859,-118.21792340000002,Mexican,90033
Normandie Bakery,"3022 S Cochran Ave  Los Angeles, CA 90016",3.5,178,34.025856,-118.36086200000001,Bakeries,90016
SHU Sushi House Unico,"2932 1/2 Beverly Glen Cir  Los Angeles, CA 90077",4.0,206,34.1273967,-118.4443909,Sushi Bars,90077
Frozen Land,"10911 Lindbrook Dr  Los Angeles, CA 90024",4.0,16,34.059708,-118.4451,Ice Cream & Frozen Yogurt,90024
Red West Pizza Wilmington,"614 W Pacific Coast Hwy  Wilmington, CA 90744",4.0,270,33.7904892,-118.2704163,Pizza,90744
A & H Shawarma and Kabob,"8450 Reseda Blvd  Northridge, CA 91324",4.5,251,34.224203100000004,-118.5357325,Mexican,91324
Popeyes Louisiana Kitchen,"1008 Long Beach Blvd  Long Beach, CA 90813",2.0,95,33.77931084,-118.1890855,Fast Food,90813
Domino's Pizza,"2717 E Slauson Ave  Huntington Park, CA 90255",2.0,30,33.989329999999995,-118.22216,Pizza,90255
Twisted Oak Tavern,"30105 Agoura Rd  Agoura Hills, CA 91301",4.0,450,34.145371000000004,-118.778668,Bars,91301
The Counter,"Terminal 7 World Way  Los Angeles, CA 90045",2.0,184,33.94131998,-118.39950479999999,Burgers,90045
Allegra California Cafe,"4437 Sepulveda Blvd  Culver City, CA 90230",4.5,104,34.002676,-118.4067419,American (New),90230
Tam's Burger,"4419 S Normandie Ave  Ste A  Los Angeles, CA 90037",2.0,14,34.003005,-118.3003249,Burgers,90037
Subway,"3522 Tweedy Blvd  South Gate, CA 90280",2.0,16,33.94395015,-118.2070064,Sandwiches,90280
Papa John's Pizza,"Compton Town Center  Compton, CA 90220",2.5,36,33.8956692,-118.2216614,Pizza,90220
